Year,State Name,District,Area,Production,Yield,Rainfall
1993,West Bengal,Purulia,294.21,440.87,1498.49,2327.8
1994,West Bengal,Purulia,296.03,504.37,1703.78,1829.05
1995,West Bengal,Purulia,300.5,477.25,1588.19,2746.9
1996,West Bengal,Purulia,304.56,483.09,1586.19,2152.15
1997,West Bengal,Purulia,322.42,609.31,1889.8,2104.55
1998,West Bengal,Purulia,231.79,341.6,1473.75,2643.9
1999,West Bengal,Purulia,299.99,547.63,1825.49,2640.15
2000,West Bengal,Purulia,262.19,474.98,1811.59,2240.05
2001,West Bengal,Purulia,294.72,745.17,2528.4,2076.6
2002,West Bengal,Purulia,230.25,486.85,2114.44,2080.15
2003,West Bengal,Purulia,294.58,639.72,2171.63,2110.0
2004,West Bengal,Purulia,289.66,673.72,2325.9,2142.05
2005,West Bengal,Purulia,266.98,528.9,1981.05,2206.3
2006,West Bengal,Purulia,280.56,731.4,2606.93,1961.3
2007,West Bengal,Purulia,313.7,768.2,2448.84,2290.15
2008,West Bengal,Purulia,301.0,744.2,2472.43,2122.55
2009,West Bengal,Purulia,265.7,598.8,2253.67,1819.8
2010,West Bengal,Purulia,152.9,261.75,1711.9,1838.55
2011,West Bengal,Purulia,270.59,732.35,2706.49,2052.6
2012,West Bengal,Purulia,289.14,730.73,2527.25,1950.1
2013,West Bengal,Purulia,302.88,731.54,2415.28,2085.1
2014,West Bengal,Purulia,279.72,599.42,2142.93,1792.0
2015,West Bengal,Purulia,272.13,500.44,1838.97,2024.45
1966,West Bengal,Midnapur,832.99,926.0,1111.66,1817.0
1967,West Bengal,Midnapur,785.94,675.7,859.73,2104.45
1968,West Bengal,Midnapur,815.2,873.76,1071.84,2488.25
1969,West Bengal,Midnapur,884.3,964.63,1090.84,1914.45
1970,West Bengal,Midnapur,873.1,881.68,1009.83,2175.4
1971,West Bengal,Midnapur,869.2,756.45,870.28,2663.3
1972,West Bengal,Midnapur,890.7,972.44,1091.77,1873.9
1973,West Bengal,Midnapur,898.7,911.1,1013.8,2269.9
1974,West Bengal,Midnapur,903.7,948.99,1050.12,2406.15
1975,West Bengal,Midnapur,915.5,1119.68,1223.03,2064.9
1976,West Bengal,Midnapur,876.8,942.79,1075.26,2017.25
1977,West Bengal,Midnapur,914.5,1142.79,1249.63,2373.55
1978,West Bengal,Midnapur,852.2,1036.9,1216.73,2125.15
1979,West Bengal,Midnapur,886.6,983.99,1109.85,1834.8
1980,West Bengal,Midnapur,904.0,1257.98,1391.57,2334.8
1981,West Bengal,Midnapur,964.53,940.76,975.36,2439.15
1982,West Bengal,Midnapur,900.01,798.25,886.93,1724.35
1983,West Bengal,Midnapur,977.92,1358.16,1388.83,2151.2
1984,West Bengal,Midnapur,907.48,1404.91,1548.14,2290.05
1985,West Bengal,Midnapur,925.23,1458.32,1576.17,2225.65
1986,West Bengal,Midnapur,958.4,1498.82,1563.88,2078.2
1987,West Bengal,Midnapur,957.53,1732.24,1809.07,2388.5
1988,West Bengal,Midnapur,964.36,1866.32,1935.29,2411.45
1989,West Bengal,Midnapur,967.25,1882.49,1946.23,2240.45
1990,West Bengal,Midnapur,1024.84,1529.3,1492.23,2763.3
1991,West Bengal,Midnapur,1065.48,2259.82,2120.94,2340.75
1992,West Bengal,Midnapur,1022.17,2066.27,2021.45,1886.7
1993,West Bengal,Midnapur,1066.99,2097.4,1965.72,2327.8
1994,West Bengal,Midnapur,1064.96,2283.79,2144.48,1829.05
1995,West Bengal,Midnapur,1080.39,2093.21,1937.46,2746.9
1996,West Bengal,Midnapur,1089.5,2362.01,2167.98,2152.15
1997,West Bengal,Midnapur,1070.91,2302.06,2149.63,2104.55
1998,West Bengal,Midnapur,1045.86,2055.88,1965.73,2643.9
1999,West Bengal,Midnapur,1106.65,2418.93,2185.81,2640.15
2000,West Bengal,Midnapur,1108.55,2584.45,2331.38,2240.05
2001,West Bengal,Midnapur,1076.59,2710.75,2517.9,2076.6
2002,West Bengal,Midnapur,1044.86,2524.95,2416.54,2080.15
2003,West Bengal,Midnapur,1073.68,2516.6,2343.9,2110.0
2004,West Bengal,Midnapur,1071.5,2802.2,2615.21,2142.05
2005,West Bengal,Midnapur,1068.9,2416.32,2260.57,2206.3
2006,West Bengal,Midnapur,1122.84,2844.06,2532.92,1961.3
2007,West Bengal,Midnapur,1046.6,2620.7,2504.01,2290.15
2008,West Bengal,Midnapur,1125.7,2736.6,2431.02,2122.55
2009,West Bengal,Midnapur,1114.7,2794.6,2507.04,1819.8
2010,West Bengal,Midnapur,1066.2,2947.41,2764.41,1838.55
2011,West Bengal,Midnapur,1055.4,2784.21,2638.06,2052.6
2012,West Bengal,Midnapur,1093.5,2940.45,2689.03,1950.1
2013,West Bengal,Midnapur,1105.54,2618.92,2368.91,2085.1
2014,West Bengal,Midnapur,1154.23,3152.73,2731.46,1792.0
2015,West Bengal,Midnapur,1136.11,3215.01,2829.84,2024.45
1966,West Bengal,West Dinajpur,425.55,376.46,884.64,1817.0
1967,West Bengal,West Dinajpur,399.49,332.8,833.06,2104.45
1968,West Bengal,West Dinajpur,429.9,445.31,1035.85,2488.25
1969,West Bengal,West Dinajpur,454.0,374.69,825.31,1914.45
1970,West Bengal,West Dinajpur,460.5,465.37,1010.58,2175.4
1971,West Bengal,West Dinajpur,477.6,456.59,956.01,2663.3
1972,West Bengal,West Dinajpur,420.9,333.16,791.54,1873.9
1973,West Bengal,West Dinajpur,433.2,394.03,909.58,2269.9
1974,West Bengal,West Dinajpur,464.8,425.9,916.31,2406.15
1975,West Bengal,West Dinajpur,455.0,381.36,838.15,2064.9
1976,West Bengal,West Dinajpur,468.3,440.58,940.81,2017.25
1977,West Bengal,West Dinajpur,474.0,473.12,998.14,2373.55
1978,West Bengal,West Dinajpur,442.8,394.46,890.83,2125.15
1979,West Bengal,West Dinajpur,429.8,388.39,903.65,1834.8
1980,West Bengal,West Dinajpur,457.3,486.54,1063.94,2334.8
1981,West Bengal,West Dinajpur,471.12,478.32,1015.28,2439.15
1982,West Bengal,West Dinajpur,439.61,405.86,923.23,1724.35
1983,West Bengal,West Dinajpur,468.67,512.73,1094.01,2151.2
1984,West Bengal,West Dinajpur,461.58,512.32,1109.93,2290.05
1985,West Bengal,West Dinajpur,429.43,529.66,1233.4,2225.65
1986,West Bengal,West Dinajpur,471.94,651.0,1379.41,2078.2
1987,West Bengal,West Dinajpur,465.08,492.54,1059.04,2388.5
1988,West Bengal,West Dinajpur,487.02,649.61,1333.85,2411.45
1989,West Bengal,West Dinajpur,465.58,771.99,1658.13,2240.45
1996,West Bengal,West Dinajpur,480.95,930.23,1934.15,2152.15
1997,West Bengal,West Dinajpur,459.0,919.38,2003.01,2104.55
1998,West Bengal,West Dinajpur,481.07,1043.27,2168.64,2643.9
1999,West Bengal,West Dinajpur,501.84,990.85,1974.43,2640.15
2000,West Bengal,West Dinajpur,493.95,1095.96,2218.77,2240.05
2001,West Bengal,West Dinajpur,490.86,979.83,1996.15,2076.6
2002,West Bengal,West Dinajpur,492.53,1049.1,2130.02,2080.15
2003,West Bengal,West Dinajpur,507.96,1219.54,2400.86,2110.0
2004,West Bengal,West Dinajpur,485.58,1200.86,2473.04,2142.05
2005,West Bengal,West Dinajpur,491.79,1211.69,2463.84,2206.3
2006,West Bengal,West Dinajpur,441.41,1036.13,2347.32,1961.3
2007,West Bengal,West Dinajpur,479.0,1175.5,2454.07,2290.15
2008,West Bengal,West Dinajpur,489.8,1161.6,2371.58,2122.55
2009,West Bengal,West Dinajpur,446.8,1022.8,2289.17,1819.8
2010,West Bengal,West Dinajpur,439.26,1216.16,2768.66,1838.55
2011,West Bengal,West Dinajpur,418.08,1105.35,2643.87,2052.6
2012,West Bengal,West Dinajpur,408.21,1084.49,2656.7,1950.1
2013,West Bengal,West Dinajpur,407.78,1069.76,2623.38,2085.1
2014,West Bengal,West Dinajpur,399.61,1120.63,2804.31,1792.0
2015,West Bengal,West Dinajpur,414.94,1195.03,2880.01,2024.45
