Year,State Name,District,Area,Production,Yield,Rainfall,Predicted_Yield,FraudScore
1992,West Bengal,Jalpaiguri,264.02,345.49,1308.58,1886.7,1337.1228999999992,28.542899999999236
1993,West Bengal,Jalpaiguri,253.04,321.97,1272.41,2327.8,1262.433100000001,9.976899999998977
1994,West Bengal,Jalpaiguri,241.52,271.3,1123.3,1829.05,1115.3491000000017,7.950899999998228
1995,West Bengal,Jalpaiguri,252.39,311.86,1235.63,2746.9,1229.9269000000013,5.703099999998813
1996,West Bengal,Jalpaiguri,248.04,277.16,1117.4,2152.15,1116.8369,0.5631000000000768
1997,West Bengal,Jalpaiguri,244.85,310.47,1268.0,2104.55,1270.0863999999997,2.086399999999685
1998,West Bengal,Jalpaiguri,246.23,286.15,1162.12,2643.9,1169.2033000000004,7.083300000000463
1999,West Bengal,Jalpaiguri,257.8,379.17,1470.79,2640.15,1468.3685999999989,2.4214000000010856
2000,West Bengal,Jalpaiguri,260.85,384.14,1472.65,2240.05,1466.6705999999995,5.9794000000006235
2001,West Bengal,Jalpaiguri,256.13,409.99,1600.71,2076.6,1596.5244000000007,4.18559999999934
2002,West Bengal,Jalpaiguri,275.18,432.45,1571.52,2080.15,1578.6529999999993,7.132999999999356
2003,West Bengal,Jalpaiguri,240.23,397.58,1655.0,2110.0,1660.2433999999996,5.24339999999961
2004,West Bengal,Jalpaiguri,250.08,366.12,1464.01,2142.05,1459.740999999999,4.269000000000915
2005,West Bengal,Jalpaiguri,248.53,394.62,1587.82,2206.3,1635.9368999999986,48.11689999999862
2006,West Bengal,Jalpaiguri,229.68,418.96,1824.1,1961.3,1782.0286000000021,42.071399999997766
2007,West Bengal,Jalpaiguri,236.1,372.4,1577.3,2290.15,1577.3372999999992,0.037299999999277134
2008,West Bengal,Jalpaiguri,235.5,391.2,1661.15,2122.55,1667.5469999999978,6.396999999997661
2009,West Bengal,Jalpaiguri,227.5,435.3,1913.41,1819.8,1903.652100000002,9.757899999998017
2010,West Bengal,Jalpaiguri,224.11,493.74,2203.11,1838.55,2162.4411999999957,40.66880000000447
2011,West Bengal,Jalpaiguri,224.62,469.65,2090.86,2052.6,2084.7385999999956,6.121400000004542
2012,West Bengal,Jalpaiguri,228.12,492.88,2160.62,1950.1,2103.8089999999975,56.81100000000242
2013,West Bengal,Jalpaiguri,229.65,523.15,2278.03,2085.1,2256.4795,21.550500000000284
2014,West Bengal,Jalpaiguri,230.54,561.85,2437.1,1792.0,2368.753900000002,68.34609999999793
2015,West Bengal,Jalpaiguri,220.26,556.42,2526.2,2024.45,2500.382800000003,25.817199999996774
1966,West Bengal,Darjeeling,37.5,42.19,1125.07,1817.0,1030.9281000000012,94.14189999999871
1967,West Bengal,Darjeeling,34.0,28.19,829.12,2104.45,1016.3371000000001,187.21710000000007
1968,West Bengal,Darjeeling,37.4,41.2,1101.6,2488.25,1103.4444000000012,1.8444000000013148
1969,West Bengal,Darjeeling,40.2,42.26,1051.24,1914.45,1021.643500000001,29.59649999999897
1970,West Bengal,Darjeeling,41.9,46.25,1103.82,2175.4,1075.8294000000014,27.990599999998494
1971,West Bengal,Darjeeling,42.1,64.76,1538.24,2663.3,1501.8230000000008,36.416999999999234
1972,West Bengal,Darjeeling,41.1,36.04,876.89,1873.9,895.322,18.432000000000016
1973,West Bengal,Darjeeling,42.3,45.39,1073.05,2269.9,1086.1184000000005,13.068400000000565
1974,West Bengal,Darjeeling,46.0,51.8,1126.09,2406.15,1143.9256999999982,17.83569999999827
1975,West Bengal,Darjeeling,45.3,48.41,1068.65,2064.9,1095.4411999999993,26.791199999999208
1976,West Bengal,Darjeeling,44.9,42.42,944.77,2017.25,974.4974999999998,29.72749999999985
1977,West Bengal,Darjeeling,44.7,46.81,1047.2,2373.55,1041.6266999999982,5.5733000000018365
1978,West Bengal,Darjeeling,36.8,30.79,836.68,2125.15,972.8705000000008,136.19050000000084
1979,West Bengal,Darjeeling,42.1,34.79,826.37,1834.8,864.3259999999999,37.955999999999904
1980,West Bengal,Darjeeling,43.1,47.53,1102.78,2334.8,1118.1267999999998,15.346799999999803
1981,West Bengal,Darjeeling,43.8,43.76,999.09,2439.15,1025.5148999999985,26.4248999999985
1982,West Bengal,Darjeeling,40.87,37.13,908.49,1724.35,901.9958000000003,6.494199999999751
1983,West Bengal,Darjeeling,44.32,59.81,1349.5,2151.2,1391.8133000000007,42.31330000000071
1984,West Bengal,Darjeeling,43.95,54.42,1238.23,2290.05,1237.5134999999993,0.7165000000006785
1985,West Bengal,Darjeeling,41.18,48.91,1187.71,2225.65,1178.533200000002,9.176799999998138
1986,West Bengal,Darjeeling,49.27,60.54,1228.74,2078.2,1232.0972000000008,3.35720000000083
1987,West Bengal,Darjeeling,47.94,46.14,962.45,2388.5,1007.5026999999983,45.052699999998254
1988,West Bengal,Darjeeling,52.78,55.31,1047.93,2411.45,1081.6247999999982,33.69479999999817
1989,West Bengal,Darjeeling,62.03,74.29,1197.65,2240.45,1185.7147999999997,11.93520000000035
1990,West Bengal,Darjeeling,55.34,64.64,1168.05,2763.3,1189.909500000001,21.859500000000935
1991,West Bengal,Darjeeling,47.78,72.3,1513.19,2340.75,1404.4200000000003,108.76999999999975
1992,West Bengal,Darjeeling,45.16,62.6,1386.18,1886.7,1365.4892999999977,20.69070000000238
1993,West Bengal,Darjeeling,43.89,69.8,1590.34,2327.8,1534.049399999998,56.29060000000186
1994,West Bengal,Darjeeling,45.01,66.09,1468.34,1829.05,1423.7354999999975,44.60450000000242
1995,West Bengal,Darjeeling,39.61,50.45,1273.67,2746.9,1246.9416999999994,26.728300000000672
1996,West Bengal,Darjeeling,36.67,38.75,1056.72,2152.15,1083.9129000000016,27.1929000000016
1997,West Bengal,Darjeeling,35.55,39.54,1112.24,2104.55,1114.7711000000015,2.5311000000015156
1998,West Bengal,Darjeeling,36.44,39.33,1079.31,2643.9,1153.1714000000006,73.86140000000069
1999,West Bengal,Darjeeling,35.66,51.45,1442.79,2640.15,1408.3996999999995,34.39030000000048
2000,West Bengal,Darjeeling,34.14,52.89,1549.21,2240.05,1494.1472000000012,55.06279999999879
2001,West Bengal,Darjeeling,36.01,59.23,1644.82,2076.6,1612.6226000000033,32.197399999996605
2002,West Bengal,Darjeeling,36.65,60.6,1653.48,2080.15,1614.4680000000014,39.01199999999858
2003,West Bengal,Darjeeling,35.34,64.83,1834.47,2110.0,1611.914900000002,222.555099999998
2004,West Bengal,Darjeeling,34.95,47.91,1370.82,2142.05,1337.2519000000023,33.568099999997685
2005,West Bengal,Darjeeling,34.52,58.63,1698.44,2206.3,1637.1192000000012,61.320799999998826
2006,West Bengal,Darjeeling,31.43,58.65,1866.05,1961.3,1914.1686999999986,48.118699999998626
2007,West Bengal,Darjeeling,32.2,59.5,1847.83,2290.15,1886.8074999999983,38.97749999999837
2008,West Bengal,Darjeeling,32.5,68.7,2113.85,2122.55,2102.009400000002,11.840599999997721
2009,West Bengal,Darjeeling,32.3,75.4,2334.37,1819.8,2337.033099999998,2.6630999999979394
2010,West Bengal,Darjeeling,32.26,77.8,2411.66,1838.55,2377.2493000000013,34.41069999999854
2011,West Bengal,Darjeeling,32.29,75.84,2348.71,2052.6,2334.1207999999983,14.58920000000171
2012,West Bengal,Darjeeling,32.42,67.56,2083.9,1950.1,2110.854399999998,26.954399999997804
2013,West Bengal,Darjeeling,32.16,72.3,2248.13,2085.1,2268.3587000000016,20.22870000000148
2014,West Bengal,Darjeeling,32.56,68.54,2105.04,1792.0,2130.4861000000005,25.44610000000057
2015,West Bengal,Darjeeling,32.59,76.95,2361.15,2024.45,2322.558499999998,38.59150000000227
1966,West Bengal,Malda,190.26,131.75,692.47,1817.0,706.7060000000005,14.236000000000445
1967,West Bengal,Malda,208.82,156.6,749.93,2104.45,733.6454999999997,16.284500000000207
1968,West Bengal,Malda,201.9,192.05,951.21,2488.25,941.3379000000008,9.87209999999925
1969,West Bengal,Malda,212.0,173.16,816.79,1914.45,812.6822999999997,4.10770000000025
1970,West Bengal,Malda,211.0,203.45,964.22,2175.4,955.2905000000007,8.92949999999928
1971,West Bengal,Malda,196.9,163.69,831.34,2663.3,852.8217999999986,21.481799999998543
1972,West Bengal,Malda,183.8,160.16,871.38,1873.9,844.9772000000002,26.402799999999843
1973,West Bengal,Malda,237.1,206.34,870.27,2269.9,882.8662999999993,12.59629999999936
1974,West Bengal,Malda,243.1,240.28,988.4,2406.15,988.4407999999992,0.04079999999919437
1975,West Bengal,Malda,233.2,228.05,977.92,2064.9,981.951399999999,4.031399999999053
1976,West Bengal,Malda,239.2,239.5,1001.25,2017.25,999.9923999999995,1.2576000000004797
1977,West Bengal,Malda,254.6,301.15,1182.84,2373.55,1195.3710999999987,12.531099999998787
1978,West Bengal,Malda,234.0,268.0,1145.3,2125.15,1135.2873000000013,10.012699999998631
1979,West Bengal,Malda,207.0,260.68,1259.32,1834.8,1213.101499999999,46.21850000000086
1980,West Bengal,Malda,202.9,287.53,1417.1,2334.8,1394.0190000000016,23.080999999998312
1981,West Bengal,Malda,231.54,307.45,1327.85,2439.15,1323.2003000000013,4.649699999998575
1982,West Bengal,Malda,216.05,260.88,1207.5,1724.35,1203.918599999999,3.58140000000094
1983,West Bengal,Malda,221.64,317.23,1431.28,2151.2,1433.7672999999995,2.48729999999955
1984,West Bengal,Malda,213.91,330.15,1543.41,2290.05,1520.1637000000012,23.246299999998882
1985,West Bengal,Malda,201.13,330.31,1642.27,2225.65,1598.4714000000001,43.79859999999985
1986,West Bengal,Malda,250.07,415.8,1662.73,2078.2,1668.8668000000007,6.136800000000676
1987,West Bengal,Malda,251.37,343.86,1367.94,2388.5,1363.5050000000006,4.434999999999491
1988,West Bengal,Malda,257.4,404.22,1570.4,2411.45,1559.9243999999985,10.475600000001577
1989,West Bengal,Malda,246.09,441.16,1792.68,2240.45,1778.421699999998,14.25830000000201
1990,West Bengal,Malda,263.82,492.32,1866.12,2763.3,1863.3613999999982,2.7586000000017066
1991,West Bengal,Malda,248.89,455.83,1831.45,2340.75,1809.9770000000008,21.472999999999274
1992,West Bengal,Malda,236.77,435.0,1837.23,1886.7,1827.6548,9.575199999999995
1993,West Bengal,Malda,242.34,551.94,2277.54,2327.8,2289.564200000002,12.02420000000211
1994,West Bengal,Malda,240.97,514.67,2135.83,1829.05,2120.1751999999974,15.654800000002524
1995,West Bengal,Malda,270.17,561.43,2078.06,2746.9,2103.1012999999984,25.0412999999985
1996,West Bengal,Malda,230.98,553.12,2394.67,2152.15,2395.665900000004,0.995900000003985
1997,West Bengal,Malda,231.77,559.54,2414.2,2104.55,2392.068700000003,22.131299999996827
1998,West Bengal,Malda,227.47,488.46,2147.36,2643.9,2080.8437000000004,66.51629999999977
1999,West Bengal,Malda,230.66,519.34,2251.54,2640.15,2274.5599000000007,23.01990000000069
2000,West Bengal,Malda,221.66,523.07,2359.79,2240.05,2353.8565000000012,5.93349999999873
2001,West Bengal,Malda,213.35,536.16,2513.05,2076.6,2502.8019999999965,10.248000000003685
2002,West Bengal,Malda,214.55,545.98,2544.77,2080.15,2533.634599999996,11.135400000003756
2003,West Bengal,Malda,208.62,572.59,2744.66,2110.0,2697.248300000002,47.411699999997836
2004,West Bengal,Malda,217.29,661.56,3044.59,2142.05,3022.2646000000004,22.325399999999718
2005,West Bengal,Malda,218.61,636.12,2909.84,2206.3,2933.393900000001,23.553900000000795
2006,West Bengal,Malda,154.26,470.63,3050.89,1961.3,2936.6499000000044,114.24009999999544
2007,West Bengal,Malda,147.3,480.4,3261.37,2290.15,3041.4343999999987,219.93560000000116
2008,West Bengal,Malda,221.7,656.8,2962.56,2122.55,2968.4132999999983,5.853299999998399
2009,West Bengal,Malda,216.8,614.5,2834.41,1819.8,2801.6764000000007,32.733599999999115
2010,West Bengal,Malda,200.76,630.48,3140.47,1838.55,3105.6272999999983,34.842700000001514
2011,West Bengal,Malda,204.93,611.97,2986.24,2052.6,2905.128799999998,81.11120000000165
2012,West Bengal,Malda,207.59,644.57,3105.01,1950.1,3086.7356000000023,18.274399999997968
2013,West Bengal,Malda,198.77,704.37,3543.64,2085.1,3412.221300000006,131.4186999999938
2014,West Bengal,Malda,204.19,707.57,3465.25,1792.0,3371.9941000000003,93.25589999999966
2015,West Bengal,Malda,206.35,705.36,3418.27,2024.45,3324.786900000001,93.48309999999901
1966,West Bengal,Cooch Behar,252.83,220.24,871.1,1817.0,867.1808999999998,3.919100000000185
1967,West Bengal,Cooch Behar,250.73,216.92,865.15,2104.45,890.1005,24.950500000000034
1968,West Bengal,Cooch Behar,248.7,217.48,874.47,2488.25,904.1342999999996,29.66429999999957
1969,West Bengal,Cooch Behar,261.3,242.67,928.7,1914.45,923.5246999999985,5.1753000000015845
1970,West Bengal,Cooch Behar,261.5,244.46,934.84,2175.4,932.7290999999983,2.1109000000017204
1971,West Bengal,Cooch Behar,268.7,243.43,905.95,2663.3,914.7781999999987,8.828199999998674
1972,West Bengal,Cooch Behar,258.1,227.79,882.56,1873.9,893.5792999999986,11.01929999999868
1973,West Bengal,Cooch Behar,264.7,224.81,849.3,2269.9,879.9972999999991,30.69729999999913
1974,West Bengal,Cooch Behar,295.9,262.82,888.21,2406.15,899.6647000000012,11.45470000000114
1975,West Bengal,Cooch Behar,305.5,270.24,884.58,2064.9,899.5194000000005,14.939400000000433
1976,West Bengal,Cooch Behar,302.3,245.34,811.58,2017.25,838.8409000000008,27.260900000000788
1977,West Bengal,Cooch Behar,306.0,257.78,842.42,2373.55,867.0928999999996,24.672899999999686
1978,West Bengal,Cooch Behar,282.1,213.4,756.47,2125.15,778.8521000000005,22.38210000000049
1979,West Bengal,Cooch Behar,260.1,187.34,720.26,1834.8,756.6901999999994,36.430199999999445
1980,West Bengal,Cooch Behar,272.7,277.74,1018.48,2334.8,1033.8979000000002,15.417900000000145
1981,West Bengal,Cooch Behar,305.9,284.98,931.61,2439.15,955.9751000000006,24.365100000000552
1982,West Bengal,Cooch Behar,285.43,241.81,847.18,1724.35,863.5542999999991,16.374299999999153
1983,West Bengal,Cooch Behar,286.56,310.66,1084.1,2151.2,1079.8157000000008,4.284299999999121
1984,West Bengal,Cooch Behar,297.0,313.76,1056.43,2290.05,1062.7324999999985,6.3024999999984175
1985,West Bengal,Cooch Behar,279.28,291.24,1042.82,2225.65,1072.5677000000005,29.747700000000577
1986,West Bengal,Cooch Behar,324.2,335.09,1033.59,2078.2,1039.1844999999987,5.5944999999987886
1987,West Bengal,Cooch Behar,274.37,313.77,1143.6,2388.5,1154.7067000000013,11.10670000000141
1988,West Bengal,Cooch Behar,338.56,403.39,1191.49,2411.45,1181.0667000000012,10.42329999999879
1989,West Bengal,Cooch Behar,320.07,422.63,1320.43,2240.45,1338.1040999999982,17.674099999998134
1990,West Bengal,Cooch Behar,305.65,401.84,1314.71,2763.3,1312.1091000000017,2.600899999998319
1991,West Bengal,Cooch Behar,314.45,398.17,1266.24,2340.75,1273.7868000000014,7.54680000000144
1992,West Bengal,Cooch Behar,315.35,405.03,1284.38,1886.7,1294.5676000000014,10.18760000000134
1993,West Bengal,Cooch Behar,305.09,421.21,1380.61,2327.8,1391.4338999999998,10.823899999999867
1994,West Bengal,Cooch Behar,274.04,340.48,1242.45,1829.05,1223.733099999999,18.716900000001033
1995,West Bengal,Cooch Behar,301.33,383.42,1272.43,2746.9,1273.2736999999981,0.8436999999980799
1996,West Bengal,Cooch Behar,293.82,400.71,1363.79,2152.15,1353.8564999999987,9.933500000001231
1997,West Bengal,Cooch Behar,273.68,369.09,1348.62,2104.55,1343.3299999999995,5.290000000000418
1998,West Bengal,Cooch Behar,282.4,368.87,1306.2,2643.9,1299.27,6.930000000000064
1999,West Bengal,Cooch Behar,292.25,439.77,1504.77,2640.15,1500.253200000001,4.516799999998966
2000,West Bengal,Cooch Behar,291.9,517.28,1772.11,2240.05,1761.8429999999978,10.2670000000021
2001,West Bengal,Cooch Behar,279.19,466.68,1671.55,2076.6,1655.6013999999993,15.948600000000624
2002,West Bengal,Cooch Behar,273.13,457.64,1675.54,2080.15,1677.693099999999,2.1530999999990854
2003,West Bengal,Cooch Behar,276.23,515.42,1865.91,2110.0,1906.066600000001,40.156600000000935
2004,West Bengal,Cooch Behar,269.31,473.15,1756.9,2142.05,1770.513299999998,13.613299999997935
2005,West Bengal,Cooch Behar,280.49,545.58,1945.1,2206.3,2052.9889999999978,107.88899999999785
2006,West Bengal,Cooch Behar,239.45,445.79,1861.72,1961.3,1834.6961999999999,27.023800000000165
2007,West Bengal,Cooch Behar,293.5,518.8,1767.63,2290.15,1734.3552999999984,33.27470000000176
2008,West Bengal,Cooch Behar,309.8,500.4,1615.24,2122.55,1578.8338000000006,36.406199999999444
2009,West Bengal,Cooch Behar,274.0,561.0,2047.45,1819.8,2125.7021999999993,78.25219999999922
2010,West Bengal,Cooch Behar,275.29,656.87,2386.1,1838.55,2456.5162000000028,70.41620000000285
2011,West Bengal,Cooch Behar,273.28,600.69,2198.08,2052.6,2197.993999999997,0.08600000000296859
2012,West Bengal,Cooch Behar,277.81,670.26,2412.66,1950.1,2427.324300000002,14.664300000002186
2013,West Bengal,Cooch Behar,273.13,727.97,2665.29,2085.1,2660.6601000000005,4.629899999999452
2014,West Bengal,Cooch Behar,277.39,720.1,2595.98,1792.0,2595.719200000004,0.26079999999592474
2015,West Bengal,Cooch Behar,270.15,722.23,2673.44,2024.45,2672.076100000001,1.363899999998921
1966,West Bengal,Purulia,238.2,189.7,796.39,1817.0,810.2795999999997,13.889599999999746
1967,West Bengal,Purulia,257.37,290.17,1127.44,2104.45,1128.6674999999998,1.2274999999997362
1968,West Bengal,Purulia,258.3,249.25,964.96,2488.25,964.514100000001,0.4458999999990283
1969,West Bengal,Purulia,261.6,266.29,1017.93,1914.45,1009.5933,8.33669999999995
1970,West Bengal,Purulia,262.5,288.87,1100.46,2175.4,1112.726900000001,12.266900000000987
1971,West Bengal,Purulia,269.6,347.77,1289.95,2663.3,1304.0526999999993,14.102699999999231
1972,West Bengal,Purulia,259.8,273.73,1053.62,1873.9,1046.9751000000006,6.644899999999325
1973,West Bengal,Purulia,261.0,264.69,1014.14,2269.9,1003.3478,10.79219999999998
1974,West Bengal,Purulia,257.3,299.18,1162.77,2406.15,1164.7391000000002,1.9691000000002532
1975,West Bengal,Purulia,262.8,310.02,1179.68,2064.9,1162.9290999999998,16.75090000000023
1976,West Bengal,Purulia,244.5,242.31,991.04,2017.25,991.5553999999986,0.5153999999986354
1977,West Bengal,Purulia,274.8,328.07,1193.85,2373.55,1183.1853000000015,10.664699999998447
1978,West Bengal,Purulia,276.1,324.43,1175.05,2125.15,1168.9213000000016,6.128699999998389
1979,West Bengal,Purulia,220.4,146.91,666.56,1834.8,682.1912999999995,15.631299999999555
1980,West Bengal,Purulia,251.3,342.63,1363.43,2334.8,1348.777199999998,14.652800000002117
1981,West Bengal,Purulia,223.83,158.48,708.04,2439.15,739.3418999999996,31.30189999999959
1982,West Bengal,Purulia,208.86,134.47,643.83,1724.35,672.1520000000005,28.322000000000457
1983,West Bengal,Purulia,234.84,310.56,1322.43,2151.2,1327.2704,4.840400000000045
1984,West Bengal,Purulia,261.84,369.05,1409.45,2290.05,1427.1069999999995,17.65699999999947
1985,West Bengal,Purulia,248.19,435.85,1756.11,2225.65,1759.446499999998,3.3364999999980682
1986,West Bengal,Purulia,288.47,389.32,1349.6,2078.2,1347.516400000001,2.083599999998796
1987,West Bengal,Purulia,262.63,422.66,1609.34,2388.5,1594.242599999998,15.097400000001926
1988,West Bengal,Purulia,257.29,364.57,1416.96,2411.45,1420.5426000000014,3.582600000001321
1989,West Bengal,Purulia,272.01,427.69,1572.33,2240.45,1575.5484999999992,3.218499999999267
1990,West Bengal,Purulia,285.26,372.73,1306.63,2763.3,1303.142400000001,3.48759999999902
1991,West Bengal,Purulia,291.01,417.89,1436.0,2340.75,1412.7958,23.2041999999999
1992,West Bengal,Purulia,289.02,426.63,1476.13,1886.7,1463.7617000000016,12.368299999998499
1993,West Bengal,Purulia,294.21,440.87,1498.49,2327.8,1494.2321000000009,4.257899999999154
1994,West Bengal,Purulia,296.03,504.37,1703.78,1829.05,1685.5662999999997,18.213700000000244
1995,West Bengal,Purulia,300.5,477.25,1588.19,2746.9,1577.5806000000014,10.609399999998686
1996,West Bengal,Purulia,304.56,483.09,1586.19,2152.15,1574.208700000001,11.98129999999901
1997,West Bengal,Purulia,322.42,609.31,1889.8,2104.55,1882.453099999998,7.3469000000020515
1998,West Bengal,Purulia,231.79,341.6,1473.75,2643.9,1484.894,11.144000000000005
1999,West Bengal,Purulia,299.99,547.63,1825.49,2640.15,1793.603199999999,31.886800000000903
2000,West Bengal,Purulia,262.19,474.98,1811.59,2240.05,1807.635499999997,3.9545000000030086
2001,West Bengal,Purulia,294.72,745.17,2528.4,2076.6,2547.198599999998,18.798599999997805
2002,West Bengal,Purulia,230.25,486.85,2114.44,2080.15,2091.9292,22.510800000000017
2003,West Bengal,Purulia,294.58,639.72,2171.63,2110.0,2307.6978999999988,136.06789999999864
2004,West Bengal,Purulia,289.66,673.72,2325.9,2142.05,2373.1135999999988,47.21359999999868
2005,West Bengal,Purulia,266.98,528.9,1981.05,2206.3,2013.513499999998,32.46349999999802
2006,West Bengal,Purulia,280.56,731.4,2606.93,1961.3,2589.384599999997,17.5454000000027
2007,West Bengal,Purulia,313.7,768.2,2448.84,2290.15,2462.091799999998,13.25179999999773
2008,West Bengal,Purulia,301.0,744.2,2472.43,2122.55,2496.601899999996,24.171899999996185
2009,West Bengal,Purulia,265.7,598.8,2253.67,1819.8,2244.678800000002,8.991199999998116
2010,West Bengal,Purulia,152.9,261.75,1711.9,1838.55,2102.2483999999986,390.3483999999985
2011,West Bengal,Purulia,270.59,732.35,2706.49,2052.6,2708.615899999998,2.1258999999981825
2012,West Bengal,Purulia,289.14,730.73,2527.25,1950.1,2522.1303,5.1197000000001935
2013,West Bengal,Purulia,302.88,731.54,2415.28,2085.1,2459.8517999999976,44.57179999999744
2014,West Bengal,Purulia,279.72,599.42,2142.93,1792.0,2130.6541999999968,12.275800000003073
2015,West Bengal,Purulia,272.13,500.44,1838.97,2024.45,1802.4034999999997,36.56650000000036
1966,West Bengal,Midnapur,832.99,926.0,1111.66,1817.0,1102.4181000000015,9.241899999998623
1967,West Bengal,Midnapur,785.94,675.7,859.73,2104.45,931.2746000000001,71.54460000000006
1968,West Bengal,Midnapur,815.2,873.76,1071.84,2488.25,1059.2793999999988,12.560600000001159
1969,West Bengal,Midnapur,884.3,964.63,1090.84,1914.45,1103.3574999999996,12.5174999999997
1970,West Bengal,Midnapur,873.1,881.68,1009.83,2175.4,1032.7406000000008,22.910600000000727
1971,West Bengal,Midnapur,869.2,756.45,870.28,2663.3,939.3270999999992,69.0470999999992
1972,West Bengal,Midnapur,890.7,972.44,1091.77,1873.9,1120.578300000001,28.808300000001054
1973,West Bengal,Midnapur,898.7,911.1,1013.8,2269.9,1033.611900000001,19.81190000000106
1974,West Bengal,Midnapur,903.7,948.99,1050.12,2406.15,1071.1654999999994,21.045499999999493
1975,West Bengal,Midnapur,915.5,1119.68,1223.03,2064.9,1297.3708000000001,74.34080000000017
1976,West Bengal,Midnapur,876.8,942.79,1075.26,2017.25,1077.702899999999,2.4428999999990992
1977,West Bengal,Midnapur,914.5,1142.79,1249.63,2373.55,1311.972400000001,62.34240000000091
1978,West Bengal,Midnapur,852.2,1036.9,1216.73,2125.15,1297.7504000000001,81.02040000000011
1979,West Bengal,Midnapur,886.6,983.99,1109.85,1834.8,1168.5910000000013,58.74100000000135
1980,West Bengal,Midnapur,904.0,1257.98,1391.57,2334.8,1420.9542000000022,29.384200000002238
1981,West Bengal,Midnapur,964.53,940.76,975.36,2439.15,1017.9418000000001,42.581800000000044
1982,West Bengal,Midnapur,900.01,798.25,886.93,1724.35,1061.5178000000008,174.5878000000008
1983,West Bengal,Midnapur,977.92,1358.16,1388.83,2151.2,1469.3338,80.50380000000018
1984,West Bengal,Midnapur,907.48,1404.91,1548.14,2290.05,1526.7538000000018,21.386199999998325
1985,West Bengal,Midnapur,925.23,1458.32,1576.17,2225.65,1592.5244000000014,16.354400000001306
1986,West Bengal,Midnapur,958.4,1498.82,1563.88,2078.2,1675.150500000002,111.2705000000019
1987,West Bengal,Midnapur,957.53,1732.24,1809.07,2388.5,1859.7239000000031,50.653900000003205
1988,West Bengal,Midnapur,964.36,1866.32,1935.29,2411.45,1931.7401000000013,3.5498999999986154
1989,West Bengal,Midnapur,967.25,1882.49,1946.23,2240.45,2011.5097000000023,65.27970000000232
1990,West Bengal,Midnapur,1024.84,1529.3,1492.23,2763.3,1717.2343000000017,225.00430000000165
1991,West Bengal,Midnapur,1065.48,2259.82,2120.94,2340.75,2113.826500000002,7.113499999998112
1992,West Bengal,Midnapur,1022.17,2066.27,2021.45,1886.7,2203.7182000000025,182.26820000000248
1993,West Bengal,Midnapur,1066.99,2097.4,1965.72,2327.8,2005.246700000001,39.52670000000103
1994,West Bengal,Midnapur,1064.96,2283.79,2144.48,1829.05,2194.197400000003,49.71740000000318
1995,West Bengal,Midnapur,1080.39,2093.21,1937.46,2746.9,2010.5735000000013,73.1135000000013
1996,West Bengal,Midnapur,1089.5,2362.01,2167.98,2152.15,2202.693200000002,34.71320000000196
1997,West Bengal,Midnapur,1070.91,2302.06,2149.63,2104.55,2181.821300000002,32.191300000001775
1998,West Bengal,Midnapur,1045.86,2055.88,1965.73,2643.9,2022.5336000000023,56.803600000002234
1999,West Bengal,Midnapur,1106.65,2418.93,2185.81,2640.15,2203.3480999999992,17.538099999999304
2000,West Bengal,Midnapur,1108.55,2584.45,2331.38,2240.05,2352.9469000000026,21.566900000002533
2001,West Bengal,Midnapur,1076.59,2710.75,2517.9,2076.6,2510.5122999999976,7.387700000002496
2002,West Bengal,Midnapur,1044.86,2524.95,2416.54,2080.15,2394.4251000000013,22.11489999999867
2003,West Bengal,Midnapur,1073.68,2516.6,2343.9,2110.0,2347.158699999998,3.2586999999980435
2004,West Bengal,Midnapur,1071.5,2802.2,2615.21,2142.05,2570.0269999999987,45.18300000000136
2005,West Bengal,Midnapur,1068.9,2416.32,2260.57,2206.3,2231.594000000004,28.97599999999602
2006,West Bengal,Midnapur,1122.84,2844.06,2532.92,1961.3,2603.5733999999993,70.65339999999924
2007,West Bengal,Midnapur,1046.6,2620.7,2504.01,2290.15,2421.612700000003,82.39729999999736
2008,West Bengal,Midnapur,1125.7,2736.6,2431.02,2122.55,2464.7160999999974,33.69609999999739
2009,West Bengal,Midnapur,1114.7,2794.6,2507.04,1819.8,2566.4594000000006,59.41940000000068
2010,West Bengal,Midnapur,1066.2,2947.41,2764.41,1838.55,2662.4090999999985,102.00090000000137
2011,West Bengal,Midnapur,1055.4,2784.21,2638.06,2052.6,2591.5171999999984,46.542800000001534
2012,West Bengal,Midnapur,1093.5,2940.45,2689.03,1950.1,2660.148799999999,28.881200000001172
2013,West Bengal,Midnapur,1105.54,2618.92,2368.91,2085.1,2404.413700000001,35.50370000000112
2014,West Bengal,Midnapur,1154.23,3152.73,2731.46,1792.0,2730.9657999999986,0.4942000000014559
2015,West Bengal,Midnapur,1136.11,3215.01,2829.84,2024.45,2742.3035999999993,87.53640000000087
1966,West Bengal,West Dinajpur,425.55,376.46,884.64,1817.0,877.2631999999991,7.376800000000912
1967,West Bengal,West Dinajpur,399.49,332.8,833.06,2104.45,874.4287999999992,41.36879999999928
1968,West Bengal,West Dinajpur,429.9,445.31,1035.85,2488.25,1012.6132000000005,23.236799999999448
1969,West Bengal,West Dinajpur,454.0,374.69,825.31,1914.45,833.5238999999991,8.213899999999171
1970,West Bengal,West Dinajpur,460.5,465.37,1010.58,2175.4,992.6214000000007,17.958599999999365
